  mype,      init,   an2filt,    vfiltT,    upsend,    hfiltT,    weight,     hfilt,    dnsend,     vfilt,   filt2an,    output,     total
   294,    1.0578,    7.0069,    0.7600,    0.5604,    1.2172,    0.0585,    0.7101,    2.8684,    0.6955,    3.7715,    0.3912,   19.1691
   295,    1.0413,    7.1019,    0.7369,    0.5209,    1.2149,    0.0585,    0.7086,    2.8701,    0.6695,    3.6335,    0.5509,   19.1789
   296,    1.0588,    7.0941,    0.7565,    0.4432,    1.2481,    0.0585,    0.7113,    2.8803,    0.6950,    3.7720,    0.3792,   19.1689
   297,    1.0341,    7.0931,    0.7396,    0.4929,    1.2583,    0.0586,    0.7058,    2.8680,    0.6722,    3.6420,    0.5339,   19.1708
   298,    1.0632,    7.0468,    0.7600,    0.4769,    1.2664,    0.0586,    0.7104,    2.8686,    0.6970,    3.7179,    0.4328,   19.1709
   299,    1.0481,    7.0316,    0.7430,    0.5311,    1.2415,    0.0586,    0.7173,    2.8721,    0.6723,    3.5781,    0.6057,   19.1718
   300,    1.0631,    6.9772,    0.7578,    0.6220,    1.0486,    0.0587,    0.7431,    2.8372,    0.6780,    3.6739,    0.6427,   19.1740
   301,    1.0339,    7.0689,    0.7404,    0.5778,    1.1115,    0.0586,    0.6996,    2.8164,    0.6544,    3.5519,    0.7820,   19.1676
   302,    1.0624,    7.0904,    0.7550,    0.4613,    1.1212,    0.0585,    0.8228,    2.7497,    0.6821,    3.6818,    0.6166,   19.1739
   303,    1.0335,    7.0874,    0.7406,    0.5583,    1.1124,    0.0586,    0.8009,    2.7309,    0.6564,    3.5720,    0.7436,   19.1667
   304,    1.1174,    7.0194,    0.7454,    0.5545,    1.1741,    0.0591,    0.7068,    2.7331,    0.6737,    3.8615,    0.4743,   19.2231
   305,    1.0416,    7.0624,    0.7494,    0.6151,    1.1219,    0.0642,    0.8065,    2.6834,    0.6867,    3.6833,    0.5877,   19.1751
   306,    1.1220,    6.9844,    0.7457,    0.4822,    1.2149,    0.0596,    0.7197,    2.8256,    0.6858,    3.8599,    0.4107,   19.2157
   307,    1.0416,    7.0393,    0.7507,    0.6384,    1.1210,    0.0643,    0.7591,    2.7790,    0.6916,    3.6623,    0.5561,   19.1762
   308,    1.1088,    6.9707,    0.7453,    0.6223,    1.1076,    0.0596,    0.7178,    2.8285,    0.6827,    3.8290,    0.4399,   19.2181
